x, y, th, stamp, 
0.28320154547691345, -5.108932971954346, -0.8274147405617504, 1770075795160333993, 
0.29832321405410767, -5.124565601348877, -0.7912664928076784, 1770075795219216291, 
0.31162595748901367, -5.137185573577881, -0.7628234504787732, 1770075795268988126, 
0.32463619112968445, -5.149126052856445, -0.734679393714349, 1770075795319166472, 
0.33807384967803955, -5.160667896270752, -0.705353306761236, 1770075795367010558, 
0.3516428470611572, -5.171674728393555, -0.6748242879047919, 1770075795417159235, 
0.3638170063495636, -5.181136608123779, -0.6467113233862971, 1770075795460411112, 
0.3784676790237427, -5.191547870635986, -0.6159736334297043, 1770075795509029151, 
0.3984326720237732, -5.205380916595459, -0.5705990859072965, 1770075795577388650, 
0.41141754388809204, -5.213253974914551, -0.5447103969757026, 1770075795620187317, 
