x, y, theta, stamp, 
-0.20381049811840057, -0.6884506344795227, -2.6215357871595684, 1770939232066611864, 
-0.214828222990036, -0.6947492361068726, -2.631185557500349, 1770939232163419128, 
-0.22702202200889587, -0.7013382315635681, -2.6386978217444184, 1770939232274777058, 
-0.23777878284454346, -0.7071545720100403, -2.647236623852983, 1770939232370547265, 
-0.248661607503891, -0.7130025029182434, -2.655123660373297, 1770939232466369768, 
-0.25877538323402405, -0.7180715203285217, -2.6636306740156814, 1770939232562352615, 
-0.2691486179828644, -0.7232474088668823, -2.6719438553058166, 1770939232658452457, 
-0.28128328919410706, -0.729374885559082, -2.6796688724839415, 1770939232770446278, 
-0.2914944291114807, -0.7342977523803711, -2.68699191755342, 1770939232866519650, 
-0.30146151781082153, -0.7389712929725647, -2.6935823142234514, 1770939232962780219, 
-0.3115200698375702, -0.7436127066612244, -2.6976885929153713, 1770939233059485224, 
-0.32261836528778076, -0.7486760020256042, -2.7044613461163562, 1770939233170508810, 
-0.332232266664505, -0.7530872821807861, -2.7084331882747694, 1770939233266652478, 
-0.34154245257377625, -0.7575376629829407, -2.714807043883022, 1770939233362330599, 
-0.3510347902774811, -0.7618418335914612, -2.7202214074573576, 1770939233458764351, 
-0.36140212416648865, -0.7664365172386169, -2.725575421302458, 1770939233570281972, 
-0.3708019554615021, -0.7705329656600952, -2.730348848582928, 1770939233666355222, 
-0.37985652685165405, -0.7743622660636902, -2.733790563842211, 1770939233762473314, 
-0.3892059624195099, -0.7782402634620667, -2.739071089818628, 1770939233859620773, 
-0.3994739353656769, -0.7824152112007141, -2.744564312592266, 1770939233970287844, 
-0.40812960267066956, -0.7858427166938782, -2.747140606591277, 1770939234067336386, 
-0.4166692793369293, -0.7893794178962708, -2.7506720970886778, 1770939234162345637, 
-0.42519626021385193, -0.7929964065551758, -2.753984040144594, 1770939234260165949, 
-0.4343094825744629, -0.7968656420707703, -2.756395141444935, 1770939234370461921, 
-0.44259947538375854, -0.8001493215560913, -2.757384520928913, 1770939234468362638, 
-0.4505341351032257, -0.8031609654426575, -2.7594995347965168, 1770939234562361841, 
-0.45958641171455383, -0.8067378401756287, -2.7623620697053095, 1770939234675050366, 
-0.4671817421913147, -0.8097833395004272, -2.7653418254161926, 1770939234770326460, 
-0.47516700625419617, -0.8128926753997803, -2.7676110619500216, 1770939234867368665, 
-0.48274466395378113, -0.8156598806381226, -2.7698226482091983, 1770939234962747593, 
-0.4905717968940735, -0.8183981776237488, -2.772409050369874, 1770939235061033970, 
-0.4991960823535919, -0.8217108845710754, -2.774756626025897, 1770939235170457331, 
-0.5064111351966858, -0.8244929909706116, -2.7755927755471035, 1770939235266372927, 
-0.5133981704711914, -0.8270829916000366, -2.776516186814685, 1770939235362604159, 
-0.5220608115196228, -0.8302731513977051, -2.7772752916653842, 1770939235474999629, 
-0.5290430784225464, -0.8330448269844055, -2.779517807662983, 1770939235570306226, 
-0.5359273552894592, -0.8356457948684692, -2.7808170115010076, 1770939235666346787, 
-0.5424214601516724, -0.8379648327827454, -2.7816019068458804, 1770939235762416483, 
-0.5490747690200806, -0.8405434489250183, -2.7840044009449874, 1770939235859134180, 
-0.5567600727081299, -0.843232274055481, -2.7840044009449874, 1770939235971378964, 
-0.5633049607276917, -0.8456266522407532, -2.7859549531684884, 1770939236067388074, 
-0.5697990655899048, -0.8479906320571899, -2.787786526674946, 1770939236162358588, 
-0.5758496522903442, -0.8502601385116577, -2.7885746093525263, 1770939236259096743, 
-0.582928478717804, -0.8528600335121155, -2.7885746093525263, 1770939236370381926, 
-0.5891347527503967, -0.8551476001739502, -2.789192647682349, 1770939236466398336, 
-0.5950304269790649, -0.8573263883590698, -2.7895358271756563, 1770939236562387056, 
-0.6010684967041016, -0.859647810459137, -2.7910375423917175, 1770939236658581374, 
-0.6074421405792236, -0.8620145916938782, -2.7903282839417125, 1770939236770474579, 
-0.6134157180786133, -0.8640022873878479, -2.791047341422526, 1770939236867406491, 
-0.6190214157104492, -0.8660218119621277, -2.791993616095813, 1770939236963506022, 
-0.6244677901268005, -0.8679107427597046, -2.79314829924142, 1770939237058586234, 
-0.6311946511268616, -0.8703610301017761, -2.79325536640638, 1770939237170377523, 
-0.6368479132652283, -0.8724088072776794, -2.7941396191608723, 1770939237267416005, 
-0.6420077085494995, -0.8743171095848083, -2.7954883448814005, 1770939237362435587, 
-0.6473490595817566, -0.8760152459144592, -2.7954883448814005, 1770939237458631337, 
-0.6531758904457092, -0.8781196475028992, -2.796079715845534, 1770939237571022537, 
-0.6580774784088135, -0.8798203468322754, -2.796079715845534, 1770939237666726301, 
-0.6630760431289673, -0.8816487789154053, -2.7966685454184055, 1770939237762399033, 
-0.6682707667350769, -0.883547306060791, -2.7966685454184055, 1770939237859743943, 
-0.6737300157546997, -0.8855462670326233, -2.797697297815985, 1770939237971675582, 
-0.6786461472511292, -0.8872641921043396, -2.797697297815985, 1770939238067940668, 
-0.6830569505691528, -0.8889290690422058, -2.798065605312615, 1770939238164137422, 
-0.687871515750885, -0.8905244469642639, -2.798065605312615, 1770939238259272715, 
-0.6931980848312378, -0.8923779129981995, -2.798845098351301, 1770939238370343788, 
-0.697882354259491, -0.8940156698226929, -2.798845098351301, 1770939238467419254, 
-0.7018308639526367, -0.8954986929893494, -2.799510591072171, 1770939238562487888, 
-0.706497848033905, -0.8971267938613892, -2.799510591072171, 1770939238659573914, 
-0.7115352153778076, -0.8988263607025146, -2.799510591072171, 1770939238770349407, 
-0.7155576348304749, -0.9001896381378174, -2.799510591072171, 1770939238867393840, 
-0.7198764085769653, -0.9016106724739075, -2.799237906847357, 1770939238962469107, 
-0.7241284847259521, -0.9031707048416138, -2.8006030867685183, 1770939239059835473, 
-0.7285499572753906, -0.904756486415863, -2.8006030867685183, 1770939239170559280, 
-0.7328563928604126, -0.906227707862854, -2.8006030867685183, 1770939239268424565, 
-0.7367687821388245, -0.9075775742530823, -2.8006030867685183, 1770939239362418202, 
-0.7406980991363525, -0.908996045589447, -2.8006030867685183, 1770939239459584238, 
-0.7449563145637512, -0.9105128645896912, -2.8013956307969092, 1770939239570379261, 
-0.7484994530677795, -0.9117850661277771, -2.8010706284806925, 1770939239667422102, 
-0.7521734237670898, -0.913015604019165, -2.8010706284806925, 1770939239762498811, 
-0.7557445168495178, -0.9143468737602234, -2.8017890030572676, 1770939239861033565, 
-0.7600600719451904, -0.9157636165618896, -2.8017890030572676, 1770939239971514271, 
-0.7636846899986267, -0.9170152544975281, -2.8017890030572676, 1770939240067435401, 
-0.7670510411262512, -0.9181739091873169, -2.8017890030572676, 1770939240162507706, 
-0.7705876231193542, -0.9194132089614868, -2.8025610302090675, 1770939240259714267, 
-0.774346113204956, -0.9207106232643127, -2.802961823424477, 1770939240370368041, 
-0.7771875858306885, -0.9219561219215393, -2.8025543522821557, 1770939240467411521, 
-0.7807874083518982, -0.9231419563293457, -2.8025147974143696, 1770939240563533666, 
-0.7835801243782043, -0.9241858124732971, -2.8025147974143696, 1770939240659475006, 
-0.786786675453186, -0.925365686416626, -2.800331620417231, 1770939240771674321, 
-0.7903160452842712, -0.9265100359916687, -2.801551183762134, 1770939240867576808, 
-0.793576717376709, -0.9276511669158936, -2.8025321885047294, 1770939240963528857, 
-0.7969033718109131, -0.9289489984512329, -2.8025321885047294, 1770939241075204337, 
-0.8002798557281494, -0.9300180673599243, -2.803441751574358, 1770939241171445201, 
